Fecha,Planta 3M5 - Analizada x Vía Húmeda - Metalización [%],Planta 3M5 - Analizada x Vía Húmeda - Fierro Total [%],Planta 3M5 - Analizada x Leco - Metalización [%],Planta 3M5 - Analizada x Leco - Carbón [%],Planta 3M5 - Analizada x Leco - Azufre [%],Planta 3M5 - Analizada x Leco - Oxígeno [%],"Planta 3M5 - Granulometría - +1/8"" [%]","Planta 3M5 - Granulometría - - 1/8"" [%]","Planta 3M5 - Granulometría - Finos - 1/4"" [%]",Planta 4M - Analizada x Vía Húmeda - Metalización [%],Planta 4M - Analizada x Vía Húmeda - Fierro Total [%],Planta 4M - Analizada x Leco - Metalización [%],Planta 4M - Analizada x Leco - Carbón [%],Planta 4M - Analizada x Leco - Azufre [%],Planta 4M - Analizada x Leco - Oxígeno [%],"Planta 4M - Granulometría - +1/8"" [%]","Planta 4M - Granulometría - -1/8"" [%]","Planta 4M - Granulometría - Finos - 1/4"" [%]"
18/02/2024 10:00:00,,,94.767,3.64,0.0088,0.9876,8.621,1.489,10.11,,,95.323,3.98,0.0113,0.8645,2.944,1.288,4.232
18/02/2024 08:00:00,93.65,85.097,94.35,3.86,0.0082,1.08,8.603,0.894,9.497,94.557,84.897,95.093,4.18,0.0107,0.9154,5.167,2.224,7.391
18/02/2024 06:00:00,,,95.098,3.74,0.0091,0.9144,5.996,2.642,8.638,,,94.72,3.98,0.0137,0.9981,8.354,2.088,10.442
18/02/2024 04:00:00,93.639,85,94.476,3.64,0.0084,1.052,6.261,1.996,8.257,93.605,84.787,94.44,3.79,0.0076,1.06,5.47,3.282,8.752
18/02/2024 02:00:00,,,94.346,3.48,0.0012,1.081,6.244,1.249,7.493,,,94.942,3.86,0.0092,0.9489,7.734,2.9,10.634
18/02/2024 00:00:00,93.994,84.761,94.44,3.62,0.0115,1.06,9.485,1.987,11.472,94.253,84.413,94.603,3.85,0.0126,1.024,10.556,6.667,17.223
17/02/2024 22:00:00,,,94.754,3.66,0.0074,0.9904,7.921,1.53,9.451,,,95.56,3.81,0.0084,0.812,8.393,3.957,12.35
17/02/2024 20:00:00,94.28,85.654,94.791,3.57,0.0102,0.9824,6.541,0.654,7.195,94.158,84.693,94.814,3.84,0.0117,0.9772,9.402,2.222,11.624
17/02/2024 18:00:00,,,94.714,3.68,0.0098,0.9993,2.19,0.253,2.443,,,94.707,3.83,0.0023,1.001,5.071,1.347,6.418
17/02/2024 16:00:00,94.498,85.479,94.644,3.47,0.0119,1.015,7.769,0.923,8.692,93.696,84.59,94.088,3.89,0.0114,1.138,6.641,1.518,8.159
17/02/2024 14:00:00,,,94.463,3.59,0.007,1.055,9.474,1.106,10.58,,,94.858,3.6,0.0094,0.9675,5.443,0.7,6.143
17/02/2024 12:00:00,93.661,84.893,94.057,3.4119,0.0095,1.145,5.989,1.532,7.521,95.361,85.063,95.326,3.571,0.0138,0.8639,2.633,0.356,2.989
17/02/2024 10:00:00,,,93.741,3.43,0.0094,1.215,8.371,2.262,10.633,,,95.273,3.89,0.0134,0.8756,6.757,2.799,9.556
17/02/2024 08:00:00,94.444,85.07,94.54,3.416,0.0099,1.038,9.632,2.662,12.294,95.222,84.821,94.988,3.624,0.0141,0.9387,4.923,2.516,7.439
17/02/2024 06:00:00,,,95.192,3.7,0.0128,0.8935,18.849,4.762,23.611,,,95.132,3.48,0.0123,0.9069,7.877,0.768,8.645
17/02/2024 04:00:00,93.838,84.848,94.472,3.57,0.009,1.053,14.523,0.83,15.353,94.195,85.381,94.359,3.49,0.0118,1.078,11.703,9.3,21.003
17/02/2024 02:00:00,,,94.382,3.45,0.0088,1.073,8.091,0.647,8.738,,,96.168,3.3,0.0123,0.6772,6.971,6.971,13.942
17/02/2024 00:00:00,92.737,84.613,93,3.66,0.0078,1.379,7.036,0.938,7.974,94.092,85.262,94.693,3.22,0.0114,1.004,8.938,5.994,14.932
16/02/2024 22:00:00,,,94.323,3.61,0.0122,1.086,10.24,1.247,11.487,,,94.689,3.46,0.0129,1.005,6.182,1.42,7.602
